Program_ID,Industry_Feedback_Score,Student_Performance_Score,Graduate_Employment_Rate,Skill_Gap_Index,Employer_Satisfaction_Level,Curriculum_Flexibility_Score,Technology_Integration_Level,Industry_Trend_Alignment,Recommended_Curriculum_Adjustment_%,Curriculum_Adjustment_Level
VET143,86,96,36,0.41,5,64,90,81,24.1,Medium
VET144,90,86,56,0.26,3,31,90,53,17.8,Medium
VET145,83,76,43,0.36,5,68,99,38,26.2,High
VET146,94,42,34,0.2,2,66,97,66,22.8,Medium
VET147,91,90,84,0.16,1,50,46,82,11.8,Medium
VET148,96,72,31,0.16,2,87,48,53,14.4,Medium
VET149,42,67,91,0.13,3,34,80,50,24.7,Medium
VET150,76,86,50,0.17,2,81,99,69,16.1,Medium
VET151,90,47,50,0.37,2,74,92,91,31.1,High
VET152,46,73,39,0.45,2,50,59,99,38.7,High
VET153,60,74,87,0.43,4,58,54,98,34.7,High
VET154,48,71,68,0.37,3,49,55,43,34.7,High
VET155,78,63,34,0.14,2,67,85,71,18.8,Medium
VET156,57,53,94,0.22,2,49,51,79,29.0,High
VET157,43,71,42,0.22,2,79,48,90,28.2,High
VET158,64,95,82,0.2,1,54,60,33,18.2,Medium
VET159,99,85,74,0.31,4,31,55,46,18.7,Medium
VET160,53,82,61,0.31,1,86,71,86,28.5,High
VET161,89,55,65,0.24,4,61,70,77,23.2,Medium
VET162,97,43,89,0.24,2,55,52,73,24.0,Medium
VET163,48,91,40,0.43,3,35,76,74,33.7,High
VET164,65,76,92,0.42,5,70,42,62,32.8,High
VET165,92,93,50,0.22,5,86,95,60,14.0,Medium
VET166,41,60,81,0.47,2,32,95,76,43.3,High
VET167,59,53,84,0.48,1,62,45,35,41.6,High
VET168,67,70,55,0.23,3,30,57,63,24.1,Medium
VET169,86,94,97,0.24,4,80,64,82,16.0,Medium
VET170,99,87,63,0.3,2,34,70,43,17.8,Medium
VET171,46,57,81,0.48,3,42,60,45,43.4,High
VET172,83,46,81,0.45,3,48,61,72,36.7,High
VET173,47,49,58,0.14,4,41,83,41,27.8,High
VET174,86,46,67,0.26,3,77,88,99,26.6,High
VET175,74,72,71,0.32,1,54,70,48,26.8,High
VET176,53,62,50,0.3,1,86,95,70,32.0,High
VET177,56,60,71,0.18,1,80,83,82,25.8,High
VET178,75,58,42,0.44,3,64,69,58,35.4,High
VET179,89,87,93,0.37,1,41,57,99,23.3,Medium
VET180,79,58,46,0.44,4,59,66,88,34.6,High
VET181,43,75,38,0.44,3,34,94,93,38.4,High
VET182,41,68,70,0.4,5,63,84,53,38.2,High
VET183,45,99,30,0.28,3,51,33,45,25.2,High
VET184,93,57,31,0.34,4,68,39,81,27.0,High
VET185,81,41,89,0.16,5,42,76,35,23.6,Medium
VET186,43,40,77,0.37,3,86,43,66,41.9,High
VET187,93,86,58,0.17,1,76,67,33,12.7,Medium
VET188,68,44,39,0.38,2,83,41,67,36.6,High
VET189,57,59,87,0.19,2,32,74,70,26.3,High
VET190,65,50,89,0.15,1,89,46,43,24.5,Medium
VET191,83,81,50,0.17,2,82,64,80,15.7,Medium
VET192,73,41,57,0.1,2,49,95,94,22.2,Medium
VET193,49,42,63,0.39,1,60,70,81,41.3,High
VET194,75,62,37,0.39,1,34,96,59,32.1,High
VET195,53,94,88,0.31,3,53,58,86,26.1,High
VET196,70,51,78,0.16,3,69,47,59,23.8,Medium
VET197,87,59,46,0.13,1,83,49,71,17.3,Medium
VET198,54,44,89,0.11,4,62,43,40,25.9,High
VET199,47,76,74,0.17,2,37,63,56,23.9,Medium
VET200,53,77,98,0.46,3,53,78,53,37.0,High
VET201,62,69,61,0.2,2,79,83,68,23.8,Medium
VET202,99,48,73,0.24,5,49,60,47,22.6,Medium
VET203,96,73,94,0.14,1,89,87,74,13.2,Medium
VET204,79,92,37,0.19,4,45,71,41,15.3,Medium
VET205,60,83,72,0.31,5,79,87,78,26.9,High
VET206,55,74,30,0.34,5,81,59,60,31.2,High
VET207,84,91,80,0.2,5,41,54,51,15.0,Medium
VET208,57,97,53,0.12,1,42,92,73,15.2,Medium
VET209,86,61,53,0.26,3,74,48,93,23.6,Medium
VET210,92,83,46,0.19,1,71,37,54,14.5,Medium
VET211,63,63,34,0.19,3,68,32,80,24.3,Medium
VET212,65,56,49,0.48,5,54,96,36,39.8,High
VET213,64,49,50,0.35,5,75,46,35,34.9,High
VET214,99,69,87,0.32,4,61,43,53,22.4,Medium
VET215,99,95,60,0.27,3,53,38,48,14.7,Medium
VET216,99,98,40,0.27,5,77,91,38,14.1,Medium
VET217,84,85,81,0.32,2,76,50,65,22.2,Medium
VET218,80,62,44,0.38,4,73,66,69,30.6,High
VET219,68,71,36,0.38,1,38,40,53,31.2,High
VET220,54,56,57,0.17,4,69,49,77,26.5,High
VET221,84,89,80,0.3,2,79,64,92,20.4,Medium
VET222,40,90,87,0.26,3,52,82,98,27.0,High
VET223,64,56,34,0.45,1,79,76,82,38.5,High
VET224,46,53,34,0.35,1,42,81,83,37.7,High
VET225,48,48,37,0.31,3,89,37,71,36.3,High
VET226,63,79,93,0.15,4,88,33,74,19.1,Medium
VET227,40,41,39,0.34,5,61,56,43,40.8,High
VET228,83,84,67,0.15,4,79,73,58,14.1,Medium
VET229,47,64,37,0.23,2,44,69,35,29.3,High
VET230,63,78,54,0.16,5,65,76,36,19.8,Medium
VET231,50,48,95,0.38,4,78,73,66,39.4,High
VET232,90,93,79,0.18,3,34,77,82,12.4,Medium
VET233,56,61,96,0.26,2,51,81,47,29.6,High
VET234,47,82,78,0.46,2,45,97,67,37.2,High
VET235,74,85,65,0.18,2,70,40,88,17.2,Medium
VET236,74,43,97,0.3,5,39,33,30,31.6,High
VET237,72,65,70,0.27,1,53,77,97,26.1,High
VET238,98,97,91,0.11,5,47,55,73,6.5,Low
VET239,44,68,39,0.42,4,78,68,76,38.6,High
VET240,81,84,50,0.13,1,47,87,64,13.5,Medium
VET241,78,73,65,0.29,4,36,48,89,24.3,Medium
VET242,97,62,41,0.32,1,33,87,81,24.2,Medium
VET243,80,76,31,0.35,5,55,57,37,26.3,High
VET244,67,50,42,0.38,2,34,95,70,35.6,High
VET245,46,45,82,0.2,3,89,39,32,31.8,High
VET246,48,57,61,0.1,2,84,87,98,24.0,Medium
VET247,47,60,45,0.39,5,45,43,43,38.1,High
VET248,51,81,61,0.31,1,64,44,55,29.1,High
VET249,73,75,61,0.43,2,55,62,99,31.9,High
VET250,72,80,40,0.43,5,47,46,87,31.1,High
VET251,87,77,39,0.44,4,58,53,69,29.2,High
VET252,94,73,44,0.29,3,52,59,80,21.1,Medium
VET253,62,56,46,0.23,2,82,91,34,27.9,High
VET254,63,76,69,0.42,1,43,42,61,33.2,High
VET255,76,64,47,0.28,4,44,91,30,26.0,High
VET256,74,77,84,0.17,5,78,76,83,18.3,Medium
VET257,83,97,54,0.44,3,62,45,40,26.0,High
VET258,79,51,88,0.45,1,54,95,82,36.5,High
VET259,61,62,51,0.29,5,50,72,37,29.9,High
VET260,66,92,59,0.13,5,46,37,54,14.9,Medium
VET261,74,81,73,0.26,2,52,32,69,22.0,Medium
VET262,40,61,61,0.42,2,86,41,61,40.8,High
VET263,74,60,80,0.46,1,72,45,57,36.2,High
VET264,76,66,75,0.18,5,46,88,32,20.6,Medium
VET265,86,96,50,0.13,2,87,78,91,10.1,Medium
VET266,53,70,61,0.45,3,43,92,56,37.9,High
VET267,42,45,68,0.26,3,58,91,74,35.6,High
VET268,40,66,41,0.32,5,49,78,54,34.8,High
VET269,44,79,76,0.49,2,59,80,90,39.9,High
VET270,65,73,47,0.13,1,48,62,73,18.9,Medium
VET271,94,51,50,0.36,1,82,59,75,29.0,High
VET272,53,84,42,0.13,1,68,88,43,19.1,Medium
VET273,78,96,50,0.25,3,85,44,37,17.7,Medium
VET274,66,92,37,0.42,2,42,52,77,29.4,High
VET275,48,46,75,0.27,2,47,74,43,34.7,High
VET276,54,49,36,0.5,3,52,91,94,44.4,High
VET277,54,84,52,0.32,1,75,44,36,28.4,High
VET278,65,56,51,0.23,1,62,75,78,27.3,High
VET279,81,65,51,0.19,5,68,93,84,20.3,Medium
VET280,99,60,58,0.24,4,69,75,42,20.2,Medium
VET281,52,67,42,0.25,2,47,85,85,28.7,High
VET282,90,97,31,0.13,2,38,73,85,9.1,Low
VET283,71,85,58,0.25,2,62,58,44,21.3,Medium
VET284,78,41,81,0.29,4,61,91,86,30.7,High
VET285,88,99,56,0.39,5,83,81,87,22.1,Medium
VET286,91,93,79,0.36,4,46,83,64,21.2,Medium
VET287,71,82,52,0.38,1,48,86,45,28.4,High
VET288,43,40,73,0.1,1,56,95,37,28.4,High
VET289,69,90,51,0.19,2,35,51,74,17.7,Medium
VET290,76,92,72,0.36,3,64,49,69,24.4,Medium
VET291,62,75,66,0.29,2,85,62,83,27.1,High
VET292,78,90,90,0.1,3,66,54,43,11.4,Medium
VET293,84,65,85,0.42,4,63,75,88,31.2,High
VET294,54,68,32,0.41,1,49,86,82,36.1,High
VET295,82,60,92,0.32,3,54,34,56,27.6,High
VET296,68,50,48,0.13,4,33,84,76,22.9,Medium
VET297,75,79,52,0.41,1,39,90,35,29.7,High
VET298,52,50,58,0.33,3,39,37,84,36.1,High
VET299,71,75,59,0.41,2,53,45,73,31.3,High
VET300,46,88,68,0.4,2,50,77,47,33.2,High
VET301,98,98,54,0.42,2,40,90,45,21.8,Medium
VET302,90,78,37,0.31,4,56,44,41,21.9,Medium
VET303,61,79,87,0.16,2,45,94,49,20.0,Medium
VET304,67,74,45,0.37,5,55,51,74,30.3,High
VET305,41,93,30,0.35,1,59,32,93,30.7,High
VET306,81,73,34,0.4,4,78,83,88,29.2,High
VET307,84,94,32,0.17,2,45,43,51,12.9,Medium
VET308,96,86,94,0.18,1,36,65,76,12.6,Medium
VET309,92,63,33,0.46,3,45,96,58,32.0,High
VET310,45,93,93,0.4,2,64,39,74,32.4,High
VET311,67,61,39,0.46,1,87,78,38,37.4,High
VET312,67,44,50,0.4,5,45,94,53,37.8,High
VET313,83,95,75,0.34,3,69,86,44,21.4,Medium
VET314,83,72,56,0.36,5,41,56,65,27.0,High
VET315,59,97,95,0.46,1,64,34,42,31.8,High
VET316,69,75,70,0.33,5,78,86,73,27.7,High
VET317,50,86,42,0.35,1,50,44,65,30.3,High
VET318,97,59,38,0.16,1,79,59,90,16.8,Medium
VET319,94,58,65,0.29,5,72,49,69,24.1,Medium
VET320,67,74,87,0.39,1,65,66,56,31.3,High
VET321,64,91,83,0.21,2,77,32,30,19.5,Medium
VET322,78,82,41,0.18,1,46,70,63,17.0,Medium
VET323,72,56,43,0.23,4,61,68,97,25.9,High
VET324,40,98,63,0.2,1,70,55,50,22.4,Medium
VET325,96,84,82,0.19,4,35,31,62,13.5,Medium
VET326,66,82,49,0.27,1,53,52,36,23.9,Medium
VET327,96,73,45,0.46,1,56,52,94,29.2,High
VET328,91,48,99,0.3,5,49,45,32,27.2,High
VET329,52,65,85,0.18,2,54,38,80,25.6,High
VET330,80,41,87,0.13,2,31,42,83,22.3,Medium
VET331,42,92,33,0.38,3,38,57,88,32.2,High
VET332,78,48,33,0.25,5,57,56,35,27.3,High
VET333,45,48,49,0.43,5,82,80,58,42.9,High
VET334,47,79,39,0.36,2,67,93,46,32.8,High
VET335,66,56,53,0.42,5,32,81,89,36.6,High
VET336,48,40,55,0.21,2,49,67,51,32.9,High
VET337,76,64,66,0.38,5,35,94,53,31.0,High
VET338,72,82,83,0.21,1,68,47,80,19.7,Medium
VET339,90,79,50,0.48,2,62,92,79,30.2,High
VET340,81,81,67,0.35,2,84,80,40,25.1,High
VET341,83,64,75,0.23,4,30,38,85,22.1,Medium
VET342,63,78,33,0.21,5,66,42,71,22.3,Medium
VET343,54,74,89,0.18,5,35,69,68,23.4,Medium
VET344,98,42,86,0.38,2,74,84,98,31.0,High
VET345,93,89,74,0.19,1,63,72,77,13.1,Medium
VET346,71,76,49,0.34,1,76,73,86,27.6,High
VET347,71,83,46,0.21,1,44,97,50,19.7,Medium
VET348,63,83,33,0.36,5,74,62,49,28.8,High
VET349,80,90,43,0.43,4,55,53,44,27.5,High
VET350,91,69,32,0.41,2,86,65,98,28.5,High
VET351,88,77,87,0.4,3,43,39,80,27.0,High
VET352,88,73,84,0.18,4,87,49,91,16.8,Medium
VET353,97,51,33,0.14,3,83,41,66,17.4,Medium
VET354,91,58,53,0.38,4,36,91,35,29.2,High
VET355,51,76,63,0.25,1,75,47,55,27.1,High
VET356,78,83,59,0.27,5,87,92,37,21.3,Medium
VET357,41,98,48,0.11,3,60,54,33,17.7,Medium
VET358,42,98,60,0.2,4,53,41,50,22.0,Medium
VET359,88,88,89,0.11,5,88,50,60,10.3,Medium
VET360,76,56,89,0.45,3,60,54,50,36.1,High
VET361,88,49,48,0.2,2,58,40,54,22.6,Medium
VET362,95,96,78,0.32,4,71,93,44,17.8,Medium
VET363,56,94,92,0.12,2,61,79,64,16.0,Medium
VET364,98,88,51,0.37,1,46,91,78,21.3,Medium
VET365,88,86,53,0.23,2,43,78,72,16.7,Medium
VET366,41,51,59,0.46,2,69,43,70,44.6,High
VET367,41,55,87,0.46,4,65,30,66,43.8,High
VET368,67,63,60,0.23,1,87,54,86,25.5,High
VET369,93,58,93,0.46,2,77,88,71,32.8,High
VET370,62,47,48,0.5,5,53,98,76,43.2,High
VET371,76,70,77,0.43,3,74,34,90,32.3,High
VET372,71,60,74,0.44,2,83,48,43,35.8,High
VET373,72,56,84,0.2,1,56,52,97,24.4,Medium
VET374,40,62,84,0.33,2,54,38,82,36.1,High
VET375,58,76,47,0.13,3,88,79,63,19.7,Medium
VET376,41,93,92,0.14,1,61,45,53,20.2,Medium
VET377,92,55,76,0.5,4,81,62,49,35.6,High
VET378,83,45,86,0.23,1,47,31,98,25.9,High
VET379,65,47,74,0.4,4,75,43,59,37.6,High
VET380,71,64,62,0.42,1,47,30,36,34.0,High
VET381,45,57,46,0.44,3,66,87,65,41.6,High
VET382,71,64,99,0.5,3,55,45,67,38.0,High
VET383,94,51,33,0.2,1,38,76,81,21.0,Medium
VET384,43,54,49,0.12,2,89,73,44,26.6,High
VET385,94,98,76,0.26,3,64,43,75,14.6,Medium
VET386,50,65,44,0.15,4,37,53,52,24.5,Medium
VET387,95,80,99,0.11,4,49,84,41,10.5,Medium
VET388,98,84,76,0.24,5,83,44,73,15.6,Medium
VET389,56,65,38,0.41,4,71,63,44,36.3,High
VET390,77,86,45,0.33,5,51,31,78,23.9,Medium
VET391,63,71,98,0.23,1,48,56,50,24.7,Medium
VET392,44,49,90,0.36,1,59,52,44,39.4,High
VET393,91,55,39,0.19,1,82,97,43,20.3,Medium
VET394,73,46,79,0.11,2,57,43,71,21.7,Medium
VET395,45,56,32,0.41,2,64,92,44,40.3,High
VET396,61,62,99,0.35,5,72,94,92,32.9,High
VET397,50,65,80,0.4,4,40,97,97,37.0,High
VET398,87,60,48,0.12,4,60,92,56,16.6,Medium
VET399,55,61,71,0.43,1,78,93,82,38.3,High
VET400,72,97,64,0.35,3,77,61,81,23.7,Medium
VET401,48,46,75,0.33,2,68,42,92,37.7,High
VET402,99,53,55,0.35,2,65,95,82,27.1,High
VET403,98,54,98,0.45,1,59,48,86,32.1,High
VET404,45,92,93,0.33,2,52,53,81,29.1,High
VET405,55,46,66,0.33,1,48,40,72,36.3,High
VET406,68,48,78,0.5,5,41,88,36,41.8,High
VET407,42,90,50,0.4,4,44,44,71,33.6,High
VET408,59,87,93,0.28,3,60,39,33,24.8,Medium
VET409,99,47,34,0.38,4,72,70,98,29.8,High
VET410,98,89,99,0.26,4,66,56,34,15.6,Medium
VET411,75,98,33,0.19,5,66,89,70,14.9,Medium
VET412,58,62,68,0.34,2,44,81,33,33.0,High
VET413,65,68,64,0.47,3,58,57,31,36.9,High
VET414,42,57,30,0.47,2,79,94,96,43.7,High
VET415,58,70,53,0.24,4,72,46,50,26.4,High
VET416,59,69,86,0.31,1,55,73,99,29.9,High
VET417,71,91,99,0.18,4,73,39,72,16.6,Medium
VET418,46,78,70,0.5,2,31,92,98,40.2,High
VET419,91,74,83,0.49,4,49,76,38,31.5,High
VET420,80,57,75,0.36,1,44,67,57,30.6,High
VET421,72,98,89,0.42,5,81,99,55,27.0,High
VET422,79,81,89,0.39,2,33,82,32,27.5,High
VET423,78,78,86,0.34,4,51,73,78,25.8,High
VET424,57,56,60,0.12,2,79,83,46,23.4,Medium
VET425,79,53,53,0.28,5,67,49,92,27.6,High
VET426,40,70,65,0.37,4,52,60,84,36.5,High
VET427,50,63,59,0.37,4,88,36,52,35.9,High
VET428,67,74,53,0.25,2,55,87,63,24.3,Medium
VET429,96,83,59,0.48,2,80,39,98,28.2,High
VET430,64,99,36,0.17,1,40,39,44,15.9,Medium
VET431,89,84,64,0.3,5,57,68,76,20.4,Medium
VET432,62,73,84,0.38,1,85,57,32,32.0,High
VET433,70,42,43,0.38,4,31,59,57,36.6,High
VET434,69,76,39,0.36,2,88,66,32,29.0,High
VET435,81,82,45,0.21,4,37,96,33,17.9,Medium
VET436,74,79,83,0.16,4,58,72,60,17.4,Medium
VET437,46,65,99,0.35,3,40,81,74,35.3,High
VET438,99,94,73,0.34,3,66,85,88,18.4,Medium
VET439,55,62,74,0.17,4,47,97,74,25.1,High
VET440,65,83,85,0.38,2,84,38,66,29.4,High
VET441,87,78,86,0.28,4,79,52,94,21.0,Medium
VET442,96,54,50,0.37,3,43,92,38,28.5,High
VET443,91,95,97,0.43,2,83,90,46,24.3,Medium
VET444,99,88,79,0.17,4,39,69,94,11.1,Medium
VET445,88,43,62,0.11,5,64,73,32,19.3,Medium
VET446,41,68,36,0.41,5,38,53,55,38.7,High
VET447,40,61,99,0.34,4,64,80,82,36.8,High
VET448,87,64,44,0.38,2,40,87,60,28.8,High
VET449,51,52,61,0.44,4,73,62,55,41.4,High
VET450,44,57,49,0.42,4,41,45,52,40.8,High
VET451,76,72,44,0.48,3,32,51,59,34.4,High
VET452,71,55,77,0.31,5,82,86,39,30.3,High
VET453,98,84,50,0.3,3,68,91,93,18.6,Medium
VET454,94,81,71,0.26,3,43,99,51,18.0,Medium
VET455,48,83,55,0.16,4,85,59,44,21.8,Medium
VET456,80,41,43,0.33,3,57,52,85,32.3,High
VET457,74,94,86,0.21,5,40,61,49,16.9,Medium
VET458,58,74,66,0.47,3,68,86,76,37.1,High
VET459,87,81,87,0.33,5,54,38,82,22.9,Medium
VET460,55,73,50,0.34,3,50,60,82,31.4,High
VET461,42,69,98,0.24,5,39,38,30,29.8,High
VET462,59,98,32,0.12,3,72,42,31,14.6,Medium
VET463,63,94,66,0.11,3,44,87,87,14.1,Medium
VET464,93,52,78,0.27,2,48,32,48,24.5,Medium
VET465,95,52,48,0.13,5,77,64,91,17.1,Medium
VET466,72,57,41,0.34,5,51,50,41,31.2,High
VET467,63,71,90,0.45,5,50,93,55,35.7,High
VET468,91,71,70,0.45,1,89,81,56,30.1,High
VET469,50,74,62,0.36,3,81,63,58,33.2,High
VET470,88,98,79,0.18,5,73,64,44,11.8,Medium
VET471,47,78,97,0.45,1,61,44,75,37.5,High
VET472,75,85,62,0.45,2,79,35,30,30.5,High
VET473,77,91,53,0.18,5,52,61,89,15.4,Medium
VET474,79,68,90,0.39,5,42,81,86,30.1,High
VET475,59,88,90,0.21,1,34,57,32,21.1,Medium
VET476,74,68,57,0.42,3,33,93,47,32.6,High
VET477,87,92,87,0.5,2,57,48,81,29.2,High
VET478,64,83,72,0.11,5,43,44,89,16.1,Medium
VET479,74,96,70,0.46,3,37,35,63,29.0,High
VET480,64,55,68,0.35,2,38,67,89,33.7,High
VET481,68,95,78,0.49,4,86,55,55,31.9,High
VET482,57,83,46,0.29,4,80,80,48,26.5,High
VET483,85,86,99,0.44,2,64,82,51,27.8,High
VET484,57,96,99,0.12,1,66,85,62,15.4,Medium
VET485,41,49,94,0.23,2,50,88,67,33.5,High
VET486,93,69,34,0.13,2,87,99,64,14.1,Medium
VET487,74,64,31,0.49,1,47,87,96,36.9,High
VET488,55,78,51,0.43,1,62,42,39,34.9,High
VET489,80,59,86,0.44,3,37,72,44,34.2,High
VET490,75,44,95,0.48,3,80,80,40,40.2,High
VET491,72,40,45,0.13,1,78,48,53,24.1,Medium
VET492,43,69,80,0.25,4,46,50,33,30.1,High
VET493,72,88,68,0.13,4,72,53,42,14.5,Medium
VET494,53,42,69,0.18,2,60,55,86,30.0,High
VET495,60,84,67,0.19,5,63,74,66,20.7,Medium
VET496,87,53,89,0.29,2,35,57,77,26.5,High
VET497,59,95,88,0.21,2,51,58,30,19.7,Medium
VET498,95,69,39,0.14,5,43,46,89,14.2,Medium
VET499,47,89,93,0.17,1,32,97,41,21.3,Medium
VET500,46,43,92,0.16,4,41,73,50,30.2,High
VET501,42,57,78,0.49,2,65,90,40,44.7,High
VET502,56,76,93,0.4,5,41,97,73,33.6,High
VET503,72,64,61,0.49,3,74,54,87,37.3,High
VET504,87,87,36,0.28,2,31,96,73,19.2,Medium
VET505,51,40,50,0.21,4,31,31,63,32.3,High
VET506,98,92,49,0.42,1,44,78,54,23.0,Medium
VET507,90,85,55,0.23,2,52,99,33,16.5,Medium
VET508,61,54,97,0.22,2,58,55,93,28.0,High
VET509,94,48,44,0.19,5,46,56,45,21.1,Medium
VET510,61,54,43,0.15,3,61,47,39,24.5,Medium
VET511,85,88,56,0.2,3,36,83,95,15.4,Medium
VET512,69,96,69,0.24,1,59,30,64,19.0,Medium
VET513,77,63,87,0.37,4,57,90,35,30.5,High
VET514,77,43,57,0.13,1,43,32,48,22.5,Medium
VET515,84,51,55,0.18,2,73,97,88,22.0,Medium
VET516,90,98,92,0.42,2,59,70,82,23.4,Medium
VET517,93,97,95,0.16,3,46,66,37,10.0,Medium
VET518,47,76,54,0.24,4,61,80,39,27.4,High
VET519,66,76,32,0.45,5,75,44,96,34.1,High
VET520,66,82,73,0.16,4,35,37,67,18.4,Medium
VET521,73,99,71,0.13,2,80,67,58,12.1,Medium
VET522,60,45,35,0.29,5,53,85,44,33.5,High
VET523,69,78,68,0.22,4,35,76,52,21.6,Medium
VET524,72,95,81,0.33,4,56,39,75,23.1,Medium
VET525,67,85,52,0.42,5,47,78,57,30.6,High
VET526,86,63,79,0.15,2,53,70,55,17.7,Medium
VET527,72,50,72,0.33,4,66,59,39,32.1,High
VET528,44,52,48,0.3,5,85,34,76,35.8,High
VET529,99,73,98,0.16,2,53,60,33,13.6,Medium
VET530,87,64,80,0.35,5,67,81,84,27.3,High
VET531,58,46,40,0.21,5,63,52,95,29.7,High
VET532,43,91,41,0.3,4,69,77,96,28.2,High
VET533,74,43,37,0.13,2,76,69,36,23.1,Medium
VET534,88,98,53,0.28,4,44,35,84,16.8,Medium
VET535,56,47,70,0.22,1,40,67,60,30.4,High
VET536,83,59,65,0.43,1,51,70,48,33.1,High
VET537,67,68,84,0.12,2,83,56,57,19.0,Medium
VET538,69,93,38,0.27,5,53,98,57,21.1,Medium
VET539,68,92,76,0.28,4,30,86,48,22.0,Medium
VET540,85,90,44,0.39,4,47,46,49,24.5,Medium
VET541,92,84,77,0.33,2,73,76,42,21.3,Medium
VET542,45,85,71,0.37,2,41,42,72,32.5,High
VET543,74,49,89,0.41,1,86,40,40,35.9,High
VET544,99,82,99,0.44,3,72,53,77,25.8,High
VET545,80,73,41,0.23,2,57,33,44,20.9,Medium
VET546,76,96,31,0.32,3,69,75,46,21.6,Medium
VET547,63,65,36,0.44,2,89,47,83,36.4,High
VET548,68,80,32,0.5,5,36,72,79,35.4,High
VET549,88,88,32,0.46,5,52,62,57,27.8,High
VET550,85,97,56,0.25,1,50,39,33,16.1,Medium
VET551,92,42,69,0.18,1,63,88,51,22.2,Medium
VET552,70,95,62,0.3,3,40,60,68,22.0,Medium
VET553,74,45,30,0.4,2,51,57,63,36.2,High
VET554,99,44,37,0.3,4,71,89,73,26.4,High
VET555,72,44,61,0.29,1,64,32,71,31.3,High
VET556,91,93,77,0.44,4,81,84,69,25.2,High
VET557,60,86,33,0.24,4,58,43,41,22.8,Medium
VET558,71,62,99,0.44,2,71,87,31,35.4,High
VET559,62,88,48,0.26,3,57,44,57,23.0,Medium
VET560,72,48,61,0.23,2,88,31,96,27.5,High
VET561,42,74,38,0.28,1,47,53,39,30.8,High
VET562,57,59,41,0.4,4,43,93,86,36.8,High
VET563,64,97,40,0.15,2,47,53,66,15.3,Medium
VET564,81,88,75,0.18,2,57,56,93,15.2,Medium
VET565,70,98,45,0.48,2,53,66,69,30.4,High
VET566,93,81,30,0.17,1,37,68,89,13.7,Medium
VET567,97,74,92,0.33,3,71,92,77,22.3,Medium
VET568,42,89,50,0.33,2,83,55,48,30.3,High
VET569,79,57,59,0.3,1,74,94,62,27.8,High
VET570,85,56,42,0.36,4,82,33,73,29.8,High
VET571,63,63,63,0.19,5,37,58,66,24.3,Medium
VET572,89,42,33,0.32,1,33,30,65,29.8,High
VET573,71,71,57,0.25,5,56,79,50,24.1,Medium
VET574,86,74,88,0.36,2,65,40,31,26.0,High
